sku,name,brand,vendor,vendor_product_id,primary_ean,extra_eans,lookup_ean,wp_post_id,slug,stock,vendor_image_url,identity_key
BF-L526676,*myvibefragrances Opulent Dream Pour Femme Eau de Toilette 100ml Spray,*myvibefragrances,beautyfort,L526676,5013692280808,,5013692280808,91956,myvibefragrances-opulent-dream-pour-femme-eau-de-toilette-100ml-spray-bf-l526676,2,https://www.beautyfort.com/pic/MHRGRFdjaHl0SnNTNGdMeDg5Ukl5cXRoTllvMURGSVE%3D,ean:5013692280808
BF-V8181102,4711 Acqua Colonia Intense Floral Fields Of Ireland Eau de Cologne 100ml Spray,4711,beautyfort,V8181102,4011700750351,,4011700750351,87568,4711-acqua-colonia-intense-floral-fields-of-ireland-eau-de-cologne-100ml-spray-bf-v8181102,34,,ean:4011700750351
BF-D5516111,4711 Acqua Colonia Peony & Sandalwood Eau de Cologne 50ml Spray,4711,beautyfort,D5516111,4011700748358,,4011700748358,87541,4711-acqua-colonia-peony-and-sandalwood-eau-de-cologne-50ml-spray-bf-d5516111,39,https://www.beautyfort.com/pic/U1pld0JVYlljR0lVNlhoQmJ1N2NMcXRoTllvMURGSVE%3D,ean:4011700748358
BF-N3424214,4711 Acqua Colonia Peony & Sandalwood Shower Gel 200ml,4711,beautyfort,N3424214,4011700748655,,4011700748655,87545,4711-acqua-colonia-peony-and-sandalwood-shower-gel-200ml-bf-n3424214,2,https://www.beautyfort.com/pic/U1pld0JVYlljR0xWOUxwUFNDODlWS3RoTllvMURGSVE%3D,ean:4011700748655
BF-Z965431,4711 Remix Cologne Refreshing Tissues 10pack,4711,beautyfort,Z965431,4011700748211,,4011700748211,87539,4711-remix-cologne-refreshing-tissues-10pack-bf-z965431,103,https://www.beautyfort.com/pic/TnNZSnN5amo0S1JFSmQ0YnczSHhBNnRoTllvMURGSVE%3D,ean:4011700748211
BF-F675751,Abercrombie & Fitch Authentic Night Gift Set 100ml EDT + 15ml EDT,Abercrombie & Fitch,beautyfort,F675751,0085715166425,,0085715166425,69116,abercrombie-and-fitch-authentic-night-gift-set-100ml-edt-15ml-edt-bf-f675751,200,https://www.beautyfort.com/pic/OGlibVJWcmNMWGNhVm9WbU0rb3B1cXRoTllvMURGSVE%3D,ean:0085715166425
BF-P351234,Abercrombie & Fitch Away Man Gift Set 50ml EDT + 200ml Hair & Body Wash,Abercrombie & Fitch,beautyfort,P351234,0085715164179,,0085715164179,69110,abercrombie-and-fitch-away-man-gift-set-50ml-edt-200ml-hair-and-body-wash-bf-p351234,200,https://www.beautyfort.com/pic/M3lFQXRxVVJhNk5HdkhmK1FJREo3NnRoTllvMURGSVE%3D,ean:0085715164179
BF-P475231,Abercrombie & Fitch Away Tonight Woman Eau de Parfum 50ml Spray,Abercrombie & Fitch,beautyfort,P475231,0085715169914,,0085715169914,69145,abercrombie-and-fitch-away-tonight-woman-eau-de-parfum-50ml-spray-bf-p475231,37,https://www.beautyfort.com/pic/U21Mc3ExYnFZU004aG10UVlXSCtVNnRoTllvMURGSVE%3D,ean:0085715169914
BF-Z351434,Abercrombie & Fitch Away Woman Gift Set 50ml EDP + 200ml Body Lotion,Abercrombie & Fitch,beautyfort,Z351434,0085715165749,,0085715165749,69113,abercrombie-and-fitch-away-woman-gift-set-50ml-edp-200ml-body-lotion-bf-z351434,128,https://www.beautyfort.com/pic/M3lFQXRxVVJhNk1selc0S0V4dFpqNnRoTllvMURGSVE%3D,ean:0085715165749
BF-T964281,Abercrombie & Fitch Fierce Eau de Cologne 10ml Spray,Abercrombie & Fitch,beautyfort,T964281,0085715169631,,0085715169631,69143,abercrombie-and-fitch-fierce-eau-de-cologne-10ml-spray-bf-t964281,200,https://www.beautyfort.com/pic/QmV6ek9mKzJpdzlLbk9pUXU1a1VhNnRoTllvMURGSVE%3D,ean:0085715169631
