sku,wp_post_id,vendor,brand,name,identity_key,primary_ean,lookup_ean,all_eans,shop_status,woo_thumb,woo_kind,vendor_image,in_wholesale_export,has_override,has_cdn_file,has_scraped_file,has_brasty_file,fill_origin,override_url,no_image_bytes_anywhere
BF-J666281,67244,beautyfort,Emily In Paris,Emily In Paris Gift Set 150ml Shimmer Shower Gel + 80ml Body Butter + 100g Bath Salts,beautyfort:J666281,5013692276276,5013692276276,5013692276276,missing,,none,https://www.beautyfort.com/pic/T0pEbVRJamdXWlh6Y2Y2SzN3T0JZYXRoTllvMURGSVE%3D,0,0,0,1,0,scraped_unapplied,,0
BTS-367338,67355,bts,MAYBELLINE,Maybelline Lash Sensational Fireworks Máscara Resistente Al Agua 10ml,ean:0000030144187,0000030144187,30144187,30144187,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-376026,67358,bts,ESSIE,"Essie Nail Color Offbeat Chic 13,5ml",ean:0000030144590,0000030144590,30144590,30144590,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-376027,67359,bts,ESSIE,"Essie Nail Color 958-Mismatch 13,5ml",ean:0000030144606,0000030144606,30144606,30144606,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-301580,67368,bts,ESSIE,Essie Gel Couture 541-Chevron Trend,ean:0000030145474,0000030145474,30145474,30145474,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-326315,67369,bts,ESSIE,"Essie Nail Color 823-Willow In The 13,5ml",ean:0000030145498,0000030145498,30145498,30145498,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-356281,67379,bts,ESSIE,Expressie Esmalte De Uñas 550-Feel The Hype 10ml,ean:0000030147096,0000030147096,30147096,30147096,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-376025,67381,bts,ESSIE,"Essie Nail Color 955-Never Basic 13,5ml",ean:0000030147157,0000030147157,30147157,30147157,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-346065,67383,bts,ESSIE,"Essie Nail Color 896-To Me From 13,5ml",ean:0000030147348,0000030147348,30147348,30147348,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-333292,67388,bts,ESSIE,"Essie Nail Color 856-Piece Of Wor 13,5ml",ean:0000030147775,0000030147775,30147775,30147775,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-365407,67392,bts,ESSIE,"Essie Gel Couture Top Coat Matte 13,5ml",ean:0000030149380,0000030149380,30149380,30149380,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-365402,67393,bts,ESSIE,"Essie Gel Couture Top Coat 13,5ml",ean:0000030149397,0000030149397,30149397,30149397,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-295735,67398,bts,ESSIE,Essie Nail Lacquer 836-Keep Branching Out,ean:0000030150171,0000030150171,30150171,30150171,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-333295,67403,bts,ESSIE,"Essie Nail Color 857-Pencil Me In 13,5ml",ean:0000030150331,0000030150331,30150331,30150331,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-365405,67408,bts,ESSIE,"Essie Gel Couture 345-Bubbles Only 13,5ml",ean:0000030151932,0000030151932,30151932,30151932,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-365420,67409,bts,ESSIE,"Essie Gel Couture 509-Paint The Gown Red 13,5ml",ean:0000030151949,0000030151949,30151949,30151949,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-374877,67411,bts,ESSIE,"Essie Nail Color 953-Odd Squad 13,5ml",ean:0000030152267,0000030152267,30152267,30152267,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-374878,67412,bts,ESSIE,"Essie Nail Color 957-Offbeat 13,5ml",ean:0000030152274,0000030152274,30152274,30152274,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-333296,67422,bts,ESSIE,"Essie Nail Color 858 Handmade Wi 13,5ml",ean:0000030152892,0000030152892,30152892,30152892,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-317816,67423,bts,ESSIE,"Essie Nail Color 822-Day Drift Away 13,5ml",ean:0000030153165,0000030153165,30153165,30153165,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-346067,67426,bts,ESSIE,"Essie Nail Color 516-Nailed It! 13,5ml",ean:0000030154964,0000030154964,30154964,30154964,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-365422,67446,bts,ESSIE,"Essie Gel Couture 551-Bling It 13,5ml",ean:0000030161542,0000030161542,30161542,30161542,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-319080,67449,bts,MAYBELLINE,"Maybelline Green Edition Balmy Lip Blush 06-Dusk 1,7g",ean:0000030163454,0000030163454,30163454,30163454,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
