sku,wp_post_id,vendor,brand,name,identity_key,primary_ean,lookup_ean,all_eans,shop_status,woo_thumb,woo_kind,vendor_image,in_wholesale_export,has_override,has_cdn_file,has_scraped_file,has_brasty_file,fill_origin,override_url,no_image_bytes_anywhere
BF-B256314,67237,beautyfort,Fudge,Fudge Black Tint Haarfarben Schale,beautyfort:B256314,0987654321234,,,missing,,none,https://www.beautyfort.com/pic/YnNJS0ZRVjMyQlZ0V09ZU2xTL05ScXRoTllvMURGSVE%3D,0,0,0,0,0,,,1
BF-B296502,67238,beautyfort,Emily In Paris,Emily In Paris Gift Set 65ml Body Lotion + 50ml Body Mist + 10ml EDT,beautyfort:B296502,,,,missing,,none,,0,0,0,0,0,,,1
BF-B546492,67239,beautyfort,Estée Lauder,Estée Lauder Advanced Set: Advanced Night Repair Eye Gel 15ml + Sumptuous Extreme Mascara 8ml  + Advanced Night Repair Complex Serum 15ml,beautyfort:B546492,,,,missing,,none,,0,0,0,0,0,,,1
BF-B86397,67240,beautyfort,Baldessarini,Baldessarini Baldessarini Eau de Cologne 50ml Spray Concentrate,beautyfort:B86397,,,,missing,,none,,0,0,0,0,0,,,1
BF-D2386113,67241,beautyfort,Orchid,Orchid Immortals Eau De Parfum 100ml Spray,beautyfort:D2386113,,,,missing,,none,,0,0,0,0,0,,,1
BF-F665351,67242,beautyfort,Emily In Paris,Emily In Paris Gift Set 65ml Shower Gel + 65ml Body Lotion + Mug,beautyfort:F665351,,,,missing,,none,,0,0,0,0,0,,,1
BF-J569981,67243,beautyfort,Louis Cardin,Louis Cardin La Viola Paradise Eau de Parfum 100ml Spray,beautyfort:J569981,,,,missing,,none,,0,0,0,0,0,,,1
BF-J691881,67245,beautyfort,Oleg Cassini,Oleg Cassini Liquid Perfumed Talc 120ml,beautyfort:J691881,,,,missing,,none,https://www.beautyfort.com/pic/R05ONGtIUmNLdWtiNUEyZFFqRnk3YXRoTllvMURGSVE%3D,0,0,0,0,0,,,1
BF-L25469,67246,beautyfort,Montana,Montana Montana Parfum D'Homme Aftershave Balsam 75ml,beautyfort:L25469,,,,missing,,none,https://www.beautyfort.com/pic/cDFrbEFBUC9UWFU0V2xZRGM5UHhranNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-L25997,67247,beautyfort,Puma,Puma Jam Woman Duschgel 50ml,beautyfort:L25997,,,,missing,,none,https://www.beautyfort.com/pic/ZzJtNXRrVDdyN1k0V2xZRGM5UHhranNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-L324303,67248,beautyfort,Juicy Couture,Juicy Couture Viva La Juicy Geschenkset 5 ml Viva La Juicy EDP + 5 ml Viva La Juicy Noir EDP,beautyfort:L324303,,,,missing,,none,https://www.beautyfort.com/pic/b2hJSnEwalZwUVdNRmZLb0ZGZWw1S3RoTllvMURGSVE%3D,0,0,0,0,0,,,1
BF-L726677,67249,beautyfort,Sunkissed,Sunkissed HydroGlow Express 12 Hour Hydrating Tanning Mousse 200ml,beautyfort:L726677,,,,missing,,none,https://www.beautyfort.com/pic/MHRGRFdjaHl0SnUxZmc4SFpiQnlSNnRoTllvMURGSVE%3D,0,0,0,0,0,,,1
BF-N0165215,67250,beautyfort,American Crew,American Crew Fiber Styling Cream 85g,beautyfort:N0165215,,,,missing,,none,,0,0,0,0,0,,,1
BF-N2253215,67251,beautyfort,Paris Corner,Paris Corner Ophidian Sweet Surrender Eau de Parfum 100ml Spray,beautyfort:N2253215,,,,missing,,none,,0,0,0,0,0,,,1
BF-N5061215,67252,beautyfort,Armaf,Armaf Le Parfait Discovery Set 7 x 15ml EDP,beautyfort:N5061215,,,,missing,,none,,0,0,0,0,0,,,1
BF-N9967214,67253,beautyfort,Emily In Paris,Emily In Paris Gift Set 335g Bath Crystals + 2 x 80g Bath Fizzers,beautyfort:N9967214,5013692276283,5013692276283,5013692276283,missing,,none,,0,0,0,0,0,,,1
BF-P807230,67254,beautyfort,Sol De Janeiro,Sol De Janeiro Brazilian Bum Bum Body Cream 75ml,beautyfort:P807230,,,,missing,,none,,0,0,0,0,0,,,1
BF-R250212,67255,beautyfort,Escada,Escada Born in Paradise Body Lotion 50ml,beautyfort:R250212,,,,missing,,none,https://www.beautyfort.com/pic/T1JFL0llMDBON2JKUGtEbWlOL2ovRHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-T314283,67256,beautyfort,Emily In Paris,Emily In Paris Gift Set 3 Toiletry Bags,beautyfort:T314283,,,,missing,,none,,0,0,0,0,0,,,1
BF-T889282,67257,beautyfort,Louis Cardin,Louis Cardin Elixir Violet Eau de Parfum 100ml Spray,beautyfort:T889282,,,,missing,,none,,0,0,0,0,0,,,1
BF-V201999,67258,beautyfort,Emily In Paris,Emily In Paris Gift Set Paddle Brush + Round Brush + Comb,beautyfort:V201999,,,,missing,,none,,0,0,0,0,0,,,1
BF-Z639431,67259,beautyfort,Lattafa Perfumes,Lattafa Perfumes Bade'e Al Oud Amethyst Gift Set 100ml EDP + 200ml Body Spray + 50ml Hair Mist,beautyfort:Z639431,,,,missing,,none,,0,0,0,0,0,,,1
BF-Z979420,67260,beautyfort,Burberry,Burberry Make-Up Pinsel - No. 5,beautyfort:Z979420,,,,missing,,none,https://www.beautyfort.com/pic/T0ZYTlBvSzRnSy9lN3QrSXJoemJmYXRoTllvMURGSVE%3D,0,0,0,0,0,,,1
BF-U81850,67267,beautyfort,OPI,OPI Nagellack 15ml - Thank Glogg It's Friday!,ean:0000009402210,0000009402210,9402210,9402210,missing,,none,https://www.beautyfort.com/pic/ZUFRTGFHaWFiMDlmNWV1dWtTU0FRRHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-P26277,67268,beautyfort,OPI,OPI Nagellack 15ml - Baroque But Still Shopping NLV38,ean:0000009402511,0000009402511,9402511,9402511,missing,,none,https://www.beautyfort.com/pic/YWM0V0N2Wi9LQ28ra3h1SFRNUDgvRHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-K94848,67269,beautyfort,OPI,OPI Mustang Nagellack 15ml 50 Years of Style,ean:0000009404616,0000009404616,9404616,9404616,missing,,none,https://www.beautyfort.com/pic/MUZ0SkNVMkZVZXJYTTVWa2xsV3N3VHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-E275203,67273,beautyfort,OPI,OPI Nagellack 15ml - With A Nice Finn-Ish,ean:0000009410617,0000009410617,9410617,9410617,missing,,none,https://www.beautyfort.com/pic/ZUFRTGFHaWFiMC84Mkcva3ZZMEp4enNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-O54112,67274,beautyfort,OPI,OPI Nordic Collection Nagellack 15ml - Do You Have this Colour in Stock-holm?,ean:0000009411111,0000009411111,9411111,9411111,missing,,none,https://www.beautyfort.com/pic/ZUFRTGFHaWFiMDgra3h1SFRNUDgvRHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-V551229,67276,beautyfort,OPI,OPI Starlight Nagellack 15ml - Is This Star Taken?,ean:0000009419317,0000009419317,9419317,9419317,missing,,none,https://www.beautyfort.com/pic/aVJUWC92QU1Uek5mNWV1dWtTU0FRRHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-O54212,67278,beautyfort,OPI,OPI Brights Nagellack 15ml - The It Color,ean:0000009427015,0000009427015,9427015,9427015,missing,,none,https://www.beautyfort.com/pic/STYyZUQzcmplcmsra3h1SFRNUDgvRHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-G644612,67279,beautyfort,OPI,OPI Hong Kong Collection Nagellack 15ml - Suzi Says Feng Shui,ean:0000009429110,0000009429110,9429110,9429110,missing,,none,https://www.beautyfort.com/pic/RTg3blJqeW5vNWFEZjNnWHV0cnllVHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-M053417,67280,beautyfort,OPI,OPI Coca Cola Nagellack 15ml - Turn The Haute Light,ean:0000009434510,0000009434510,9434510,9434510,missing,,none,https://www.beautyfort.com/pic/eUJkQXNFNmIwOFU0V2xZRGM5UHhranNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-C481016,67281,beautyfort,OPI,OPI Nagellack 15ml - Can't aFjörd Not To,ean:0000009439214,0000009439214,9439214,9439214,missing,,none,https://www.beautyfort.com/pic/STYyZUQzcmplcmxVWnZqcjF2cnZzVHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-L003644,67282,beautyfort,OPI,OPI Infinite Shine 2 Nail Polish 15 ml - Lincoln Park After Dark,ean:0000009443013,0000009443013,9443013,9443013,missing,,none,https://www.beautyfort.com/pic/QUxQU2F4eFFZUlA4Mkcva3ZZMEp4enNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-P97230,67283,beautyfort,OPI,OPI Touring America Nagellack 15ml - Get In The Expresso Lane,ean:0000009443615,0000009443615,9443615,9443615,missing,,none,https://www.beautyfort.com/pic/NWlFMTNwbUpSc3pKUGtEbWlOL2ovRHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-M247415,67284,beautyfort,OPI,OPI Nordic Collection Nagellack 15ml - Suzi Has A Swede Tooth,ean:0000009448018,0000009448018,9448018,9448018,missing,,none,https://www.beautyfort.com/pic/STYyZUQzcmplcms0V2xZRGM5UHhranNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-P268611,67286,beautyfort,OPI,OPI Infinite Shine Nail Polish 15ml - I Can Never Hut Up,ean:0000009455018,0000009455018,9455018,9455018,missing,,none,https://www.beautyfort.com/pic/TnUrdVVyUEVxaUE0V2xZRGM5UHhranNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-W338314,67288,beautyfort,OPI,OPI Euro Centrale Nagellack 15ml I Saw...U Saw...We Saw...Warsaw,ean:0000009460214,0000009460214,9460214,9460214,missing,,none,https://www.beautyfort.com/pic/VVRBUjFjSytiSGtCNVRLRWwxeXVuanNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-E715168,67289,beautyfort,OPI,OPI Brazil Nagellack 15ml I Just Can't Cope-Acabana,ean:0000009461912,0000009461912,9461912,9461912,missing,,none,https://www.beautyfort.com/pic/bXdOSmhmNTh1K3o4Mkcva3ZZMEp4enNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
