export_id,brand,title,type,sex,volume,ean_raw,ean,stock,price,tester,shade,coverage,image_url,cdn_file,scraped_file,brasty_file
5,4711,Original  Without Spray,Eau de Cologne,UNI,200 ml,4011700740062,4011700740062,84,"11,23",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/B1920.jpg?v=1740624043,,,out_of_stock/4011700740062.jpg
7,4711,Original  Without Spray,Eau de Cologne,M,300 ml,4011700740055,4011700740055,305,"13,21",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/H83851.jpg?v=1740623763,,,out_of_stock/4011700740055.jpg
11,Acqua di Parma,Colonia,Eau de Cologne,UNI,100 ml,8028713000096,8028713000096,175,"52,68",0,,our_cdn_file,https://images.prinscosmetic.eu/8028713000096.jpg,8028713000096.jpg,,in_stock/8028713000096.jpg
12,Acqua di Parma,Colonia,Eau de Cologne,UNI,50 ml,8028713000089,8028713000089,2,"42,21",0,,our_cdn_file,https://images.prinscosmetic.eu/8028713000089.jpg,8028713000089.jpg,,out_of_stock/8028713000089.jpg
78,Antonio Puig,Agua Brava,Eau de Cologne,M,100 ml,8411061401705,8411061401705,5,"8,91",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/V101103.jpg?v=1740617132,,,in_stock/8411061401705.jpg
80,Antonio Puig,Agua Quorum,Eau de Toilette,M,100 ml,8411061561904,8411061561904,5,"9,45",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/Q91092.jpg?v=1740617143,,,
81,Antonio Puig,Quorum,Eau de Toilette,M,100 ml,8411061411919,8411061411919,2,"8,91",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/Q2154.jpg?v=1740617146,,,
97,Azzaro,Chrome,Eau de Toilette,M,100 ml,3351500020409,3351500020409,23,"33,67",0,,brasty_dump,,,,in_stock/3351500020409.jpg
153,Benetton,Hot,Eau de Toilette,W,100 ml,715387003000,715387003000,16,"5,95",0,,no_image_anywhere,,,,
188,Britney Spears,Fantasy,Eau de Parfum,W,100 ml,7640372090037,7640372090037,16,"14,86",0,,no_image_anywhere,,,,
194,Burberry,Brit   For Men,Eau de Toilette,M,50 ml,3386463023624,3386463023624,11,"19,51",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/3614226905161-9.jpg?v=1671870790,,,
200,Burberry,Brit for Her,Eau de Toilette,W,100 ml,5045493535368,5045493535368,27,"24,23",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/3614226905253-9.jpg?v=1673061437,,,
206,Burberry,Brit for Her,Eau de Parfum,W,100 ml,3614226904973,3614226904973,56,"27,90",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/B46365.jpg?v=1740609537,,,
209,Burberry,Brit   For Men,Eau de Toilette,M,100 ml,5045493535429,5045493535429,39,"25,39",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/3614226905154-9.jpg?v=1671870783,,,
220,Burberry,London,Eau de Parfum,W,50 ml,3614226905192,3614226905192,132,"18,20",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/3614226905192-9.jpg?v=1671881632,,,out_of_stock/3614226905192.jpg
222,Burberry,London,Eau de Parfum,W,100 ml,3614226905185,3614226905185,1000,"25,16",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/3614226905185-9.jpg?v=1671881656,,,out_of_stock/3614226905185.jpg
227,Burberry,For Women,Eau de Parfum,W,100 ml,3614226905666,3614226905666,322,"27,36",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/3614226905666-9.jpg?v=1671870850,,,
228,Burberry,For Women,Eau de Parfum,W,50 ml,3614226905697,3614226905697,11,"18,98",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/B6585.jpg?v=1740609556,,,in_stock/3614226905697.jpg
232,Burberry,For Men,Eau de Toilette,M,50 ml,3614226905789,3614226905789,2,"19,17",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/3614226905789-9.jpg?v=1671870808,,,
233,Burberry,For Men,Eau de Toilette,M,100 ml,3386460080019,3386460080019,256,"21,17",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/3614226905758-9.jpg?v=1671870801,,,back_in_stock/3386460080019.jpg
241,Burberry,Touch For Women,Eau de Parfum,W,50 ml,5045252649107,5045252649107,22,"18,04",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/H553.jpg?v=1740609611,,,
242,Burberry,Touch For Women,Eau de Parfum,W,100 ml,3614226905000,3614226905000,20,"24,37",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/R224.jpg?v=1740609605,,,in_stock/3614226905000.jpg
252,Burberry,Weekend For Women,Eau de Parfum,W,100 ml,5045252667484,5045252667484,790,"24,33",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/3614226905284-9.jpg?v=1671870757,,,
259,Burberry,Weekend For Men,Eau de Toilette,M,50 ml,5045252667606,5045252667606,9,"16,27",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/3614227748484-9.jpg?v=1673061459,,,in_stock/5045252667606.jpg
260,Burberry,Weekend For Men,Eau de Toilette,M,100 ml,3386463402818,3386463402818,3,"21,11",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/3614227748446-9.jpg?v=1672433007,,,in_stock/3386463402818.jpg
368,Cacharel,Amor Amor,Eau de Toilette,W,30 ml,3360373063697,3360373063697,5,"12,18",0,,brasty_dump,,,,out_of_stock/3360373063697.jpg
369,Cacharel,Amor Amor,Eau de Toilette,W,50 ml,3360373063703,3360373063703,24,"17,59",0,,brasty_dump,,,,in_stock/3360373063703.jpg
370,Cacharel,Amor Amor,Eau de Toilette,W,100 ml,3360373063680,3360373063680,1,"26,30",0,,brasty_dump,,,,in_stock/3360373063680.jpg
402,Cacharel,Eden,Eau de Parfum,W,30 ml,3360373048861,3360373048861,43,"15,53",0,,brasty_dump,,,,in_stock/3360373048861.jpg
403,Cacharel,Eden,Eau de Parfum,W,50 ml,3360373048878,3360373048878,40,"22,18",0,,brasty_dump,,,,in_stock/3360373048878.jpg
417,Cacharel,Noa,Eau de Toilette,W,100 ml,3360373016358,3360373016358,9,"22,71",0,,brasty_dump,,,,in_stock/3360373016358.jpg
448,Calvin Klein,CK Be,Eau de Toilette,UNI,50 ml,88300604685,88300604685,102,"9,98",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/D06121.jpg?v=1740622942,,,in_stock/0088300604685.jpg
450,Calvin Klein,CK Be,Eau de Toilette,UNI,100 ml,88300104406,88300104406,1,"16,02",0,,brasty_dump,,,,in_stock/0088300104406.jpg
456,Calvin Klein,Contradiction For Men,Eau de Toilette,M,100 ml,88300000319,88300000319,50,"15,80",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/J7181.jpg?v=1740617642,,,in_stock/0088300000319.jpg
462,Calvin Klein,Contradiction,Eau de Parfum,W,100 ml,88300602513,88300602513,2,"17,71",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/L7252.jpg?v=1740609726,,,
470,Calvin Klein,Escape,Eau de Parfum,W,100 ml,88300608409,88300608409,199,"18,12",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/Z3434.jpg?v=1740609729,,,in_stock/0088300608409.jpg
472,Calvin Klein,Escape For Men,Eau de Toilette,M,50 ml,88300600502,88300600502,41,"15,69",0,,our_cdn_file,https://images.prinscosmetic.eu/88300600502.jpg,88300600502.jpg,,
474,Calvin Klein,Escape For Men,Eau de Toilette,M,100 ml,88300100514,88300100514,6,"16,04",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/088300100514-9.jpg?v=1671880712,,,in_stock/0088300100514.jpg
483,Calvin Klein,Eternity,Eau de Parfum,W,100 ml,88300601400,88300601400,1000,"24,75",0,,our_cdn_file,https://images.prinscosmetic.eu/88300601400.jpg,88300601400.jpg,,in_stock/088300601400.jpg
485,Calvin Klein,Eternity   For Men,Eau de Toilette,M,30 ml,88300605385,88300605385,1,"14,72",0,,brasty_dump,,,,in_stock/088300605385.jpg
486,Calvin Klein,Eternity   For Men,Eau de Toilette,M,50 ml,88300605309,88300605309,43,"18,75",0,,our_cdn_file,https://images.prinscosmetic.eu/0088300605309.jpg,0088300605309.jpg,,in_stock/0088300605309.jpg
487,Calvin Klein,Eternity   For Men,Deodorant,M,75 ml,88300605705,88300605705,282,"7,79",0,,override_url,https://www.oceanfragrances.com/Foto/0088300605705.jpg,,,
